left_pose_history,left_point,right_point,right_pose_history
,0,0,
"['left_pointing', 'chage_court', 'right_hand_raising', 'chage_court']",1,,
,,1,"['right_pointing', 'left_pointing', 'chage_court']"
,,2,"['right_pointing', 'chage_court', 'left_pointing', 'chage_court']"
,,1,"['right_pointing', 'left_hand_raising', 'chage_court']"
"['left_pointing', 'left_hand_raising', 'chage_court']",1,,
,,2,"['right_pointing', 'right_hand_raising', 'chage_court']"
"['left_pointing', 'left_hand_raising', 'chage_court']",2,,
,,3,"['right_pointing', 'right_hand_raising', 'chage_court']"
"['left_pointing', 'left_hand_raising', 'chage_court']",3,,
"['left_pointing', 'raise_hands_to_chest', 'chage_court']",4,,
"['left_pointing', 'raise_hands_to_chest', 'chage_court']",5,,
"['left_pointing', 'right_pointing', 'chage_court']",1,,
"['left_pointing', 'right_pointing', 'chage_court']",2,,
"['left_pointing', 'right_pointing', 'chage_court']",3,,
"['left_pointing', 'right_pointing', 'chage_court']",4,,
"['left_pointing', 'right_pointing', 'chage_court']",5,,
"['left_pointing', 'chage_court', 'right_pointing', 'chage_court']",6,,
"['left_pointing', 'chage_court', 'right_pointing', 'chage_court']",7,,
"['left_pointing', 'chage_court', 'right_pointing', 'chage_court']",8,,
"['left_pointing', 'chage_court', 'right_pointing', 'chage_court']",9,,
"['left_pointing', 'chage_court', 'right_pointing', 'chage_court']",10,,
,,1,"['right_pointing', 'chage_court', 'left_pointing', 'chage_court']"
,,2,"['right_pointing', 'left_pointing', 'chage_court']"
,,3,"['right_pointing', 'left_pointing', 'chage_court']"
,,4,"['right_pointing', 'left_pointing', 'chage_court']"
,,5,"['right_pointing', 'left_pointing', 'chage_court']"
,,6,"['right_pointing', 'chage_court', 'left_pointing', 'chage_court']"
,,7,"['right_pointing', 'chage_court', 'left_pointing', 'chage_court']"
"['left_pointing', 'chage_court', 'right_pointing', 'chage_court']",1,,
"['left_pointing', 'chage_court', 'right_pointing', 'chage_court']",2,,
"['left_pointing', 'chage_court', 'left_pointing', 'chage_court']",3,,
,,8,"['right_pointing', 'chage_court', 'left_pointing', 'chage_court']"
,,1,"['right_pointing', 'chage_court', 'left_pointing', 'chage_court']"
,,2,"['right_pointing', 'left_pointing', 'chage_court']"
,,3,"['right_pointing', 'left_pointing', 'chage_court']"
,,4,"['right_pointing', 'left_pointing', 'chage_court']"
,,5,"['right_pointing', 'left_pointing', 'chage_court']"
,,6,"['right_pointing', 'chage_court', 'left_pointing', 'chage_court']"
,,7,"['right_pointing', 'chage_court', 'left_pointing', 'chage_court']"
"['left_pointing', 'chage_court', 'right_pointing', 'chage_court']",1,,
"['left_pointing', 'chage_court', 'right_pointing', 'chage_court']",2,,
"['left_pointing', 'chage_court', 'left_pointing', 'chage_court']",3,,
"['left_pointing', 'chage_court', 'right_pointing', 'chage_court']",1,,
"['left_pointing', 'right_pointing', 'chage_court']",2,,
"['left_pointing', 'right_pointing', 'chage_court']",3,,
"['left_pointing', 'right_pointing', 'chage_court']",4,,
"['left_pointing', 'right_pointing', 'chage_court']",5,,
"['left_pointing', 'right_pointing', 'chage_court']",6,,
"['left_pointing', 'chage_court', 'right_pointing', 'left_arm_folding', 'chage_court']",7,,
"['left_pointing', 'chage_court', 'right_pointing', 'chage_court']",8,,
"['left_pointing', 'chage_court', 'right_pointing', 'chage_court']",9,,
"['left_pointing', 'chage_court', 'right_pointing', 'chage_court']",10,,
,,1,"['right_pointing', 'chage_court', 'right_arm_folding', 'end_of_set', 'left_arm_folding', 'chage_court']"
"['left_pointing', 'right_t_pose', 'chage_court']",1,,
"['left_pointing', 'raise_hands_to_chest', 'chage_court']",2,,
